Tender,Company,Procurement,Notice,Location,Closing,Value,Date
UKRI-3885 HiLUX Infrared Detector,UK Research & Innovation,  Opportunity,  Open,  South East,"   4 June 2024,  2pm","  £200,000",  26 April 2024
Procurement Opportunity to deliver business support to the social enterprise sector,East Riding of Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  13 May 2024,  8am","  £10,000 to £30,000",  26 April 2024
"Invitation to Tender for the provision of Furniture, Fixtures & Equipment (FF&E) Design Consultancy Services (RIBA 3-6) for the Shirehall Library and Learning Centre in Hereford",Herefordshire Council,  Opportunity,  Open,  England,"  17 May 2024, 12pm","  £0 to £100,000",  26 April 2024
"Framework agreement for the management of haulage, sale/disposal of recycling products",Gloucestershire County Council,  Opportunity,  Open,  England,"  28 May 2024,  5pm","  £2,760,000",  26 April 2024
Purchase of PM2.5 instruments suitable primarily for Near Source Locations,Environment Agency,  Opportunity,  Open,  BS1 5AH,"  27 May 2024, 12:15pm","  £2,000,000 to £2,800,000","  24 April 2024, last edited 26 April 2024"
"Construction of play park, cafe and car park",Eckington Parish Council,  Opportunity,  Open,  East Midlands,"   8 May 2024,  5pm","  £1,000,000 to £1,050,000","  26 April 2024, last edited 26 April 2024"
The City of Liverpool College - Kitchen Equipment Servicing & Reactive Maintenance,The City of Liverpool College,  Opportunity,  Open,  L13 0BQ,"  17 May 2024, 12pm","  £26,000 to £78,000","  26 April 2024, last edited 26 April 2024"
Sports Centre Fitness Equipment,UNIVERSITY OF SALFORD(THE),  Opportunity,  Open,  M5 4WT,"  13 May 2024, 12pm","  £80,000",  26 April 2024
HS2 C1 ALIGN JV - Flint supply works (Inc. snapped/knapped flint),"ALIGN JV (Bouygues Travaux Publics, VolkerFitzpatrick and Sir Robert McAlpine)",  Opportunity,  Open,  Any region,"  10 May 2024, 12:43pm","  £100,000 to £150,000",  26 April 2024
Coffee Concession Cotgrave Country Park,Nottinghamshire County Council,  Opportunity,  Open,  England,"  19 May 2024, 12pm",  £0,  26 April 2024
HCC - 04/24 - Pre-Procurement Market Engagement for the Provision of a Community Counselling Service for Children and Young People aged 5-18,Hertfordshire County Council - Children's Services,  Opportunity,  Open,  SG13 8DE,"  14 May 2024, 12pm",  £0,  26 April 2024
Request for Proposal: Board CEO and Non Executive recruitment,FAIR4ALL FINANCE LIMITED,  Opportunity,  Open,  United Kingdom,"  10 May 2024,  5pm","  £50,000 to £70,000",  26 April 2024
CA13997 - Tender 04/2024 - Preparatory Works & Provision of Sand to Foreshore at Warrenpoint Baths,"Newry, Mourne and Down District Council (NMD)",  Opportunity,  Open,  BT35 8DJ,"   7 May 2024, 12pm","  £15,000",  26 April 2024
Provision of Agency Workers and Recruitment Services,LANCASHIRE RENEWABLES LIMITED,  Opportunity,  Open,  North West,"  28 May 2024, 12pm","  £1,800,000 to £3,600,000",  26 April 2024
Arboricultural services - Tree works operations,London Borough Of Islington,  Opportunity,  Open,  United Kingdom,"   1 May 2024,  4:02pm",  £0,  26 April 2024
Cemetery Access Road Resurfacing,Fair Oak & Horton Heath Parish Council,  Opportunity,  Open,  South East,"   4 June 2024, 12pm","  £28,000",  26 April 2024
Educational and Children&apos;s Social Care Professionals Framework -  ssq_485,Department for Education,  Early engagement,  Open,  Any region,  31 July 2024,Publication date 26 April 2024,None
Provision of Bus Services,Cumberland Council,  Opportunity,  Open,  England,"  28 May 2024, 12pm","  £900,000 to £2,500,000",  26 April 2024
Planned Installation of Windows & Doors and Reactive Repairs,Norse Commercial Services Limited,  Opportunity,  Open,  East Midlands,"  31 May 2024, 11am","  £3,668,000",  26 April 2024
Vehicle Racking Solutions,Bournemouth Christchurch and Poole Council,  Opportunity,  Open,  South West,"  29 May 2024,  2pm","  £440,000 to £490,000",  26 April 2024
Structural Inspection - CCTV Survey Contract 2024,Wigan Council,  Opportunity,  Open,  England,"  17 May 2024, 12pm","  £35,000",  26 April 2024
Provision of a Patient Administration System (PAS),University Hospitals Birmingham NHS Foundation Trust,  Opportunity,  Open,  B15 2WB,"  31 May 2024,  1pm",  £0,"  19 April 2024, last edited 26 April 2024"
GB-Tendering: EPP0111 Holland Public Hall & Golf Green Hall,Tendering District Council,  Opportunity,  Open,  East of England,"  28 May 2024, 10am","  £50,000 to £100,000",  26 April 2024
Western Gateway - Severn Estuary Commission Request for Proposals: Environment,Western Gateway,  Opportunity,  Open,  United Kingdom,"  24 May 2024,  5pm","  £100,000","  25 April 2024, last edited 26 April 2024"
YPO - 001205 Electronic Catering Management and Payment Solutions,YPO,  Opportunity,  Open,  United Kingdom,"  29 May 2024,  2pm","  £40,000,000","  16 April 2024, last edited 26 April 2024"
Duchy College Rosewarne - Cafeteria Upgrade,Corserv Limited,  Opportunity,  Open,  England,"  17 May 2024, 12pm","  £100,000",  26 April 2024
PROVISION OF SECURITY SERVICES AT THE BRITISH HIGH COMMISSION NAIROBI,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  31 May 2024,  5pm","  £4,724,000",  26 April 2024
Vending Services,PD Ports,  Opportunity,  Open,  TS2 1AH,"   7 May 2024,  1pm",  £0,  26 April 2024
"TC1202 No.1 Ancoats Green - Management, Maintenance and Lettings",Manchester City Council,  Opportunity,  Open,  United Kingdom,"   7 May 2024, 11am","  £4,200,000 to £15,500,000","  28 March 2024, last edited 26 April 2024"
"Invitation to Tender for the Design & Build of Sand play improvements at Withy Grove playground, Brindle Rd, Bamber Bridge, Preston PR5 6YJ",South Ribble Borough Council,  Opportunity,  Open,  North West,"  31 May 2024, 12pm","  £0 to £150,000",  26 April 2024
Viability Study for the Old Kent Road Area Action Plan,London Borough of Southwark,  Opportunity,  Open,  England,"  16 May 2024, 11:59pm","  £15,000 to £30,000","  25 April 2024, last edited 26 April 2024"
CoSInC Forming Tool Suite,University of Bristol,  Opportunity,  Open,  BS16 7FS,"   6 May 2024, 12pm","  £750,000 to £900,000","   4 April 2024, last edited 26 April 2024"
Provision of Flood Risk Management Support & Planning Application Review,London Borough of Hillingdon,  Opportunity,  Open,  UB8 1UW,"  31 May 2024,  5pm","  £333,000",  26 April 2024
(NU/2001) Longitudinal Business Survey,Newcastle University,  Opportunity,  Open,  England,"  31 May 2024, 11:59pm","  £875,000","  25 April 2024, last edited 26 April 2024"
RA341268 - Maintenance of Stellaris Anterior Machines,Hywel Dda University Health Board,  Opportunity,  Open,  SA31 3BB,"  30 April 2024, 10am",  £0,  26 April 2024
Property Refurbishment: 23 Bramley Avenue BB12 0HU,Burnley Borough Council,  Opportunity,  Open,  North West,"  13 May 2024,  3pm","  £65,000",  26 April 2024
Christian Action Housing Water Hygiene Services,Christian Action Housing Association Ltd (Enfield),  Opportunity,  Open,  London,"  28 May 2024, 12pm","  £500,000",  26 April 2024
"Gas Main Works Horwood to Keele Hall, University of Keele",Keele University,  Opportunity,  Open,  ST5 5BG,"  28 May 2024, 12pm","  £130,000","  26 April 2024, last edited 26 April 2024"
PQ0123 - Excess Soil Removal,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  10 May 2024, 12pm",  £0,  26 April 2024
"Contract for the Supply, Installation and Maintenance of MRF Infrastructure Equipment for Waste Treatment",Bristol Waste Company,  Opportunity,  Open,  England,"  24 May 2024, 12pm",  £0,  26 April 2024
Invitation to Tender,HEART OF YORKSHIRE EDUCATION GROUP LTD,  Opportunity,  Open,  WF10 4UA,"   7 June 2024, 12pm","  £4,000,000",  26 April 2024
Internship Provider for Postgraduate Students (April 2024),University of Hertfordshire,  Opportunity,  Open,  AL10 9AB,"  27 May 2024, 12pm","  £12,600,000","  26 April 2024, last edited 26 April 2024"
Soft market testing: Home Care provider survey,Leicestershire County Council,  Early engagement,  Open,  England,  10 May 2024,Publication date 26 April 2024,None
Event,Construction Industry Training Board,  Opportunity,  Open,  Any region,"  30 May 2024,  5pm","  £700,000",  26 April 2024
Internal Audit,University of Leeds,  Opportunity,  Open,  Yorkshire and the Humber,"  31 May 2024, 12pm","  £750,000",  26 April 2024
CA13993 - Request for Information - North Middlesex University Hospital - Onsite Childcare Provision,Partners Procurement Service (PPS),  Early engagement,  Open,  N19 5NF,  26 July 2024,Publication date 26 April 2024,None
The provision of the BID Ranger & Security Services for Blackburn Business Improvement District (BID),In-Tend e-Tendering,  Opportunity,  Open,  HX1 2EB,"  17 May 2024,  5pm",  £0,  26 April 2024
4103/AMRC/GM/24 Portable X-ray diffractometer,University Of Sheffield,  Opportunity,  Open,  S60 5TZ,"  10 May 2024, 12pm","  £0 to £155,000",  26 April 2024
STDL-PROC-0086 - Branded Materials,South Tees Developments Limited,  Opportunity,  Open,  England,"  27 May 2024,  9am","  £300,000",  26 April 2024
Woking High School Academy Trust - Catering Tender,Woking High School Academy Trust - Catering Tender,  Opportunity,  Open,  South East,"  31 May 2024,  9am","  £850,000",  26 April 2024
Provision of Systems Integration Services,University of Bedfordshire,  Opportunity,  Open,  LU1 3JU,"   1 May 2024,  2pm","  £35,000 to £60,000","  25 April 2024, last edited 25 April 2024"
Construction Tender - Kimberley Park Lodge Community Recording Studio,Falmouth Town Council,  Opportunity,  Open,  South West,"  10 May 2024, 12pm","  £350,000 to £500,000","  25 March 2024, last edited 25 April 2024"
Operations and Maintenance of  Mine Water Treatment Schemes and  Legacy Assets,The Coal Authority,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, Scotland, Wales","   8 August 2024,  5pm",  £0,  25 April 2024
"Somerset FT Community Sites_Amb, Chilled & Frozen",Pelican Procurement Services,  Opportunity,  Open,  South West,"  27 May 2024, 10am",  £0,  25 April 2024
Broadacres Washroom Hygiene & Sanitary Services,Broadacres Housing Association,  Opportunity,  Open,"  North East, Yorkshire and the Humber","  31 May 2024, 12pm","  £40,000 to £100,000",  25 April 2024
Arcus Road / Chingley Close Passivhaus Development,Phoenix Community Housing,  Opportunity,  Open,  London,"  31 May 2024, 12pm","  £13,000,000 to £14,000,000",  25 April 2024
"Supply of cleaning materials, uniform, PPE and equipment",Phoenix Community Housing,  Opportunity,  Open,  London,"  31 May 2024, 12pm",  £0,  25 April 2024
PAN3026 - Cossington Street Pool Lining,Leicester City Council,  Opportunity,  Open,  England,"  28 May 2024, 12pm","  £95,000",  25 April 2024
ESPH CS RDC - Main Contractor for Camber Sands Welcome Centre (ESPH634),Rother District Council,  Opportunity,  Open,  TN39 3JX,"  23 May 2024, 12pm","  £0 to £1,700,000","  25 April 2024, last edited 25 April 2024"
The Supply of Influenza Vaccines,Leidos Supply,  Opportunity,  Open,  Any region,"  28 May 2024,  1pm","  £1,040,000 to £2,600,000",  25 April 2024
The Provision of Aviation Optometry Services for Royal Air Force (RAF) Recruiting and Selection - CF Opportunity,Ministry of Defence,  Opportunity,  Open,  East Midlands,"  31 May 2024, 11:59am","  £500,000",  25 April 2024
"CA13986 - Coleg y Cymoedd, Works Contract for Refurbishment to Toilet Blocks",Coleg y Cymoedd,  Opportunity,  Open,  CF40 2TQ,"  15 May 2024, 12pm",  £0,  25 April 2024
National EV Infrastructure Programme,English Heritage-Estates,  Opportunity,  Open,  SN2 2EH,"   6 June 2024, 12pm",  £0,  25 April 2024
Bracknell Forest Council - 2.	Emergency Hormonal Contraception (EHC),Bracknell Forest Borough Council,  Opportunity,  Open,  England,"  25 March 2025,  5pm",  £0,  25 April 2024
Ticket Office Machines (TOMS) & Mobile Ticket Issuing System (MTIS),Transpennine Trains Limited,  Opportunity,  Open,  North West,"  24 May 2024, 11am","  £2,500,000",  25 April 2024
CA13984 - Learning Academy Partnership South West Asbestos Monitoring Services Contract,Learning Academy Partnership South West,  Opportunity,  Open,  TQ12 3SB,"  27 May 2024, 12pm",  £0,  25 April 2024
Campus HV Infrastructure Upgrade,UNIVERSITY OF SALFORD(THE),  Opportunity,  Open,  M5 4WT,"  15 May 2024, 12pm","  £350,000",  25 April 2024
Grounds Maintenance,Mersey and West Lancashire Teaching Hospitals NHS Trust,  Opportunity,  Open,  PR86PN,"   6 June 2024, 12pm",  £0,  25 April 2024
Non Hazardous Waste Disposal Services,EU SUPPLY LIMITED,  Opportunity,  Open,  South West,"  22 May 2024, 12pm",  £0,"  18 April 2024, last edited 25 April 2024"
DSEAR Assessment,Wythenshawe Community Housing Group (WCHG),  Opportunity,  Open,  England,"  13 May 2024, 12pm","  £35,000",  25 April 2024
NSMM Sound and Vision - Tactile Interpretation,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  17 May 2024,  5pm","  £25,000",  25 April 2024
University Hospital Dorset Endoscopy Electrical Infrastructure Upgrade,University Hospitals Dorset NHS Foundation Trust,  Opportunity,  Open,  BH15 2JB,"   3 May 2024,  2pm","  £1,500,000","  15 March 2024, last edited 25 April 2024"
Window Replacement Programme - Phase 20,London Borough of Hillingdon,  Opportunity,  Open,  UB8 1UW,"  22 May 2024, 12pm","  £450,000",  25 April 2024
"Disposable Cubicle, Shower and Window Curtains 2025",NHS Supply Chain,  Future opportunity,  Open,  S4 7UQ,Approach to market date  4 November 2024,"  £18,750,000",  25 April 2024
Supply of Cleaning Materials to WCHG,Wythenshawe Community Housing Group (WCHG),  Opportunity,  Open,  England,"  16 May 2024, 12pm","  £50,000",  25 April 2024
Civil Engineering Package Gleneagles,Kingstown Works Ltd,  Opportunity,  Open,  Yorkshire and the Humber,"   8 May 2024,  5pm","  £1,000,000","  28 March 2024, last edited 25 April 2024"
WYCA Evaluation Services Framework,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"   7 June 2024, 12pm",  £0,"  24 April 2024, last edited 25 April 2024"
SMP Alliance - Floor Saw,COSTAIN LTD,  Opportunity,  Open,"  Yorkshire and the Humber, East Midlands, West Midlands","   1 May 2024,  5pm","  £25,000",  25 April 2024
SMP Alliance - Asbestos Removal Management,COSTAIN LTD,  Opportunity,  Open,  United Kingdom,"   1 May 2024,  5pm","  £20,000",  25 April 2024
Provision for Wall Repairs at Waltham Abbey Gardens,Lee Valley Regional Park Authority,  Opportunity,  Open,  EN2 9HG,"  28 May 2024, 12pm",  £0,  25 April 2024
Adult Education and Training Dynamic Purchasing Vehicle,London Borough of Camden,  Opportunity,  Open,  England,"  24 May 2024, 11:59pm","  £597,000",  25 April 2024
Sportswear and Leisurewear,University of Bristol,  Opportunity,  Open,  BS1 5DS,"  30 May 2024, 12am","  £600,000",  25 April 2024
Construction project to complete a full refurbishment and extension to a property in South Somerset,Somerset Council,  Opportunity,  Open,  England,"  24 May 2024, 12pm","  £499,000",  25 April 2024
ASC23043 - Positive Behaviour Support Supported Living Services in Herefordshire & Worcestershire DPS,Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"  29 August 2027,  3pm","  £0 to £10,500,000",  25 April 2024
EEM Ltd Materials Framework Early Market Engagement EEM0072,EFFICIENCY EAST MIDLANDS LIMITED,  Early engagement,  Open,"  England, Wales, Northern Ireland",   1 August 2024,Publication date 25 April 2024,None
PIN Notice for Bracknell Forest Council - 1.	Long-Acting Reversible Contraception (LARC),Bracknell Forest Borough Council,  Opportunity,  Open,  England,"  26 March 2025, 12pm",  £0,  25 April 2024
Attribute survey in the West of North England Forest District,FORESTRY COMMISSION,  Opportunity,  Open,  North West,"   7 June 2024,  2pm","  £7,000",  25 April 2024
